Headline,Score,Trade Signal
"Apple reports record-breaking quarterly revenue, surpassing expectations.",0.0,Hold
Tesla stock plummets amid safety recall concerns.,0.0,Hold
Markets rally as inflation data shows signs of cooling.,0.0,Hold
Tech sector faces headwinds due to rising interest rates.,-0.125,Hold
Bitcoin surges past $45k in sudden buying spree.,-0.125,Hold
Company X files for bankruptcy after failed merger talks.,-0.5,Hold
New product launch receives mixed reviews from analysts.,0.06818181818181818,Hold
Earnings report shows steady growth but warns of future risks.,0.08333333333333333,Hold
"CEO steps down unexpectedly, causing investor panic.",-0.02777777777777779,Hold
Strategic partnership expected to boost market share significantly.,0.1375,Hold
